lastname,contributor_zip5,sumcontribs,city,state,county,state_fips,county_fips,latitude,longitude,fips,num_returns,total_agi_value,avg_agi,avg_agi_rank
Klobuchar,55402,67501,MINNEAPOLIS,MN,HENNEPIN,27,053,44.975922,-93.272232,27053,860,561695,653133.72093023255,22
Klobuchar,55401,64550,MINNEAPOLIS,MN,HENNEPIN,27,053,44.984768,-93.269678,27053,7010,932695,133052.06847360914,1115
Klobuchar,55419,64475,MINNEAPOLIS,MN,HENNEPIN,27,053,44.907535,-93.287518,27053,13960,1611485,115435.888252149,1549
Klobuchar,55403,63375,MINNEAPOLIS,MN,HENNEPIN,27,053,44.972874,-93.287471,27053,9710,999252,102909.57775489187,2091
Klobuchar,55424,63371,MINNEAPOLIS,MN,HENNEPIN,27,053,44.905316,-93.339922,27053,4610,1355425,294018.4381778742,189
Klobuchar,55436,55169.9,MINNEAPOLIS,MN,HENNEPIN,27,053,44.9057,-93.375965,27053,7010,1494638,213215.12125534948,371
Klobuchar,55391,53380,WAYZATA,MN,HENNEPIN,27,053,44.965267,-93.543158,27053,8040,2732415,339852.6119402985,128
Klobuchar,55439,51475,MINNEAPOLIS,MN,HENNEPIN,27,053,44.87483,-93.374842,27053,4750,955846,201230.73684210528,429
Klobuchar,10024,48300,NEW YORK,NY,NEW YORK,36,061,40.797364,-73.97785,36061,30410,9984610,328333.1141072016,147
Messam,33027,5800,HOLLYWOOD,FL,BROWARD,12,011,25.982281,-80.343566,12011,28050,1835174,65425.098039215685,6962
Messam,33028,2800,PEMBROKE PINES,FL,BROWARD,12,011,26.019434,-80.344562,12011,12250,935569,76372.97959183675,4481
Messam,33138,2800,MIAMI,FL,MIAMI-DADE,12,086,25.854178,-80.17979,12086,13090,1033528,78955.53857906799,4120
Messam,34987,2800,PORT SAINT LUCIE,FL,SAINT LUCIE,12,111,27.290974,-80.496789,12111,4760,368000,77310.9243697479,4332
Messam,33594,2500,VALRICO,FL,HILLSBOROUGH,12,057,27.93768,-82.244459,12057,15380,889301,57821.91157347204,10048
Messam,33020,2200,HOLLYWOOD,FL,BROWARD,12,011,26.022261,-80.149893,12011,20980,775288,36953.670162059105,26692
Messam,92602,1400,IRVINE,CA,ORANGE,06,059,33.748442,-117.745505,06059,10950,1372547,125346.75799086757,1295
Messam,33029,1000,HOLLYWOOD,FL,BROWARD,12,011,25.993542,-80.408772,12011,20750,1638283,78953.39759036145,4123
Messam,33156,1000,MIAMI,FL,MIAMI-DADE,12,086,25.660595,-80.292332,12086,13600,2865208,210677.05882352943,387
Messam,33330,1000,FORT LAUDERDALE,FL,BROWARD,12,011,26.05865,-80.325402,12011,6550,1012583,154592.8244274809,775
Messam,33625,1000,TAMPA,FL,HILLSBOROUGH,12,057,28.072387,-82.561246,12057,12910,689644,53419.36483346243,12833
Messam,33981,1000,PORT CHARLOTTE,FL,CHARLOTTE,12,015,26.930111,-82.215363,12015,5490,319638,58221.85792349727,9848
O'Rourke,79902,109155.35,EL PASO,TX,EL PASO,48,141,31.786128,-106.495968,48141,8990,486302,54093.659621802006,12353
O'Rourke,78703,77674.39,AUSTIN,TX,TRAVIS,48,453,30.28973,-97.766479,48453,10600,2498435,235701.4150943396,304
O'Rourke,78746,67333.2,AUSTIN,TX,TRAVIS,48,453,30.295657,-97.813727,48453,12920,5004074,387312.2291021672,100
O'Rourke,77005,65566.49,HOUSTON,TX,HARRIS,48,201,29.717416,-95.418732,48201,10210,3420870,335050.930460333,135
O'Rourke,77019,62694.54,HOUSTON,TX,HARRIS,48,201,29.752453,-95.411683,48201,11000,2766708,251518.9090909091,267
O'Rourke,77024,59973.89,HOUSTON,TX,HARRIS,48,201,29.76378,-95.500466,48201,15460,5137264,332293.91979301424,140
O'Rourke,79912,59257.19,EL PASO,TX,EL PASO,48,141,31.85481,-106.533034,48141,34290,2408349,70234.73315835521,5672
O'Rourke,75209,43417.4,DALLAS,TX,DALLAS,48,113,32.844254,-96.833186,48113,7570,1846876,243973.05151915454,282
O'Rourke,79922,40058.2,EL PASO,TX,EL PASO,48,141,31.803651,-106.555804,48141,3620,487274,134606.0773480663,1085
O'Rourke,75219,37965.4,DALLAS,TX,DALLAS,48,113,32.805428,-96.814226,48113,16590,2378916,143394.57504520795,931
Ryan,44406,28975,CANFIELD,OH,MAHONING,39,099,41.013906,-80.772766,39099,11830,1082773,91527.72612003383,2795
Ryan,44514,26960,YOUNGSTOWN,OH,MAHONING,39,099,41.002184,-80.619386,39099,11850,840188,70901.94092827004,5512
Ryan,44512,21175,YOUNGSTOWN,OH,MAHONING,39,099,41.024497,-80.669852,39099,17500,898165,51323.71428571429,14482
Ryan,44425,15500,HUBBARD,OH,TRUMBULL,39,155,41.169074,-80.584133,39155,7470,358005,47925.702811244984,17517
Ryan,44240,11700,KENT,OH,PORTAGE,39,133,41.135236,-81.329012,39133,16000,835202,52200.125,13744
