contributor_zip5,Sanders,Warren,winner,advantage,city,state,county,state_fips,county_fips,latitude,longitude
22602,1031.39,719.96,Sanders,311.43000000000006,WINCHESTER,VA,FREDERICK,51,069,39.151073,-78.277218
37880,1031.33,0,Sanders,1031.33,TEN MILE,TN,MEIGS,47,121,35.689762,-84.677578
85284,1030.76,1191.64,Warren,160.8800000000001,TEMPE,AZ,MARICOPA,04,013,33.33469,-111.932486
11520,1030.66,105,Sanders,925.6600000000001,FREEPORT,NY,NASSAU,36,059,40.652202,-73.58282
89703,1029.8,850,Sanders,179.79999999999995,CARSON CITY,NV,CARSON CITY,32,510,39.16416,-119.885661
27511,1029.56,1592.59,Warren,563.03,CARY,NC,WAKE,37,183,35.759644,-78.779491
53212,1029.24,1180,Warren,150.76,MILWAUKEE,WI,MILWAUKEE,55,079,43.074668,-87.906528
90010,1028.4,936,Sanders,92.40000000000009,LOS ANGELES,CA,LOS ANGELES,06,037,34.063288,-118.312069
98056,1028.25,1347.67,Warren,319.4200000000001,RENTON,WA,KING,53,033,47.508872,-122.19496
22032,1028.16,959.16,Sanders,69.00000000000011,FAIRFAX,VA,FAIRFAX,51,059,38.820952,-77.288944
08055,1027.7,1675,Warren,647.3,MEDFORD,NJ,BURLINGTON,34,005,39.863995,-74.811906
46613,1027,0,Sanders,1027,SOUTH BEND,IN,ST JOSEPH,18,141,41.654893,-86.260184
98264,1027,865,Sanders,162,LYNDEN,WA,WHATCOM,53,073,48.932437,-122.419769
45806,1026.6,203,Sanders,823.5999999999999,LIMA,OH,ALLEN,39,003,40.686542,-84.127927
76115,1026.1,0,Sanders,1026.1,FORT WORTH,TX,TARRANT,48,439,32.681995,-97.330639
10566,1025.85,445.13,Sanders,580.7199999999999,PEEKSKILL,NY,WESTCHESTER,36,119,41.284739,-73.923184
21032,1025.36,168.24,Sanders,857.1199999999999,CROWNSVILLE,MD,ANNE ARUNDEL,24,003,39.029961,-76.607438
02452,1025,250,Sanders,775,WALTHAM,MA,MIDDLESEX,25,017,42.394783,-71.216868
02050,1024.9,198,Sanders,826.9000000000001,MARSHFIELD,MA,PLYMOUTH,25,023,42.111083,-70.713148
80017,1024.8,150,Sanders,874.8,AURORA,CO,ARAPAHOE,08,005,39.698109,-104.781797
46615,1024.7,350,Sanders,674.7,SOUTH BEND,IN,ST JOSEPH,18,141,41.67694,-86.216285
92557,1024.1,110.2,Sanders,913.8999999999999,MORENO VALLEY,CA,RIVERSIDE,06,065,33.973926,-117.258816
28540,1023.95,0,Sanders,1023.95,JACKSONVILLE,NC,ONSLOW,37,133,34.729522,-77.498376
97034,1023,2344.17,Warren,1321.17,LAKE OSWEGO,OR,CLACKAMAS,41,005,45.410836,-122.679536
39213,1022.6899999999999,0,Sanders,1022.6899999999999,JACKSON,MS,HINDS,28,049,32.407478,-90.216692
90660,1022.65,0,Sanders,1022.65,PICO RIVERA,CA,LOS ANGELES,06,037,33.986641,-118.086329
07853,1022.2,350,Sanders,672.2,LONG VALLEY,NJ,MORRIS,34,027,40.78307,-74.803724
94580,1022,0,Sanders,1022,SAN LORENZO,CA,ALAMEDA,06,001,37.67811,-122.135422
98349,1022,105,Sanders,917,LAKEBAY,WA,PIERCE,53,053,47.268116,-122.74143
06078,1021.99,250,Sanders,771.99,SUFFIELD,CT,HARTFORD,09,003,41.989507,-72.653976
11050,1021.99,640,Sanders,381.99,PORT WASHINGTON,NY,NASSAU,36,059,40.837088,-73.694
04038,1021.7,25,Sanders,996.7,GORHAM,ME,CUMBERLAND,23,005,43.715428,-70.462344
95023,1021.7,1090,Warren,68.29999999999995,HOLLISTER,CA,SAN BENITO,06,069,36.89563,-121.183732
63139,1021.2,380,Sanders,641.2,SAINT LOUIS,MO,SAINT LOUIS CITY,29,510,38.61355,-90.291919
20005,1021.02,5454.77,Warren,4433.75,WASHINGTON,DC,DISTRICT OF COLUMBIA,11,001,38.904224,-77.031798
33418,1021,372.5,Sanders,648.5,PALM BEACH GARDENS,FL,PALM BEACH,12,099,26.854197,-80.190148
33323,1020,15,Sanders,1005,FORT LAUDERDALE,FL,BROWARD,12,011,26.157197,-80.331319
63131,1019.56,300,Sanders,719.56,SAINT LOUIS,MO,SAINT LOUIS,29,189,38.615896,-90.445589
12303,1019.36,200,Sanders,819.36,SCHENECTADY,NY,SCHENECTADY,36,093,42.755197,-73.913474
92637,1019,1339.47,Warren,320.47,LAGUNA WOODS,CA,ORANGE,06,059,33.607122,-117.731077
91702,1017.8,575,Sanders,442.79999999999995,AZUSA,CA,LOS ANGELES,06,037,34.138099,-117.912193
18104,1017.7,1495,Warren,477.29999999999995,ALLENTOWN,PA,LEHIGH,42,077,40.615591,-75.543661
20176,1017.69,1739.81,Warren,722.1199999999999,LEESBURG,VA,LOUDOUN,51,107,39.160038,-77.521852
95148,1017.62,483,Sanders,534.62,SAN JOSE,CA,SANTA CLARA,06,085,37.332803,-121.77142
87113,1017.3,0,Sanders,1017.3,ALBUQUERQUE,NM,BERNALILLO,35,001,35.181275,-106.592831
84104,1016.7,0,Sanders,1016.7,SALT LAKE CITY,UT,SALT LAKE,49,035,40.749546,-111.96657
98022,1016.6,125,Sanders,891.6,ENUMCLAW,WA,KING,53,033,47.088064,-121.711476
