county,fips,Booker,Buttigieg,Castro,Delaney,Gabbard,Gillibrand,Harris,Hickenlooper,Inslee,Klobuchar,Messam,O'Rourke,Sanders,Trump,Warren,Williamson,Yang
BENTON,29015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2446.86,NA,NA,NA
BENTON,41003,200,100,NA,NA,NA,NA,710,NA,250,NA,NA,746.99,1059,4395.7,1225,NA,57.35
BENTON,47005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,1009.6,NA,NA,NA
BENTON,53005,NA,NA,NA,NA,250,NA,NA,NA,7900,NA,NA,NA,444,20501.64,250,NA,2
BENZIE,26019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223.37,500,NA,NA
BERGEN,34003,252449.69,6250,327.34,8800,11149.97,9900,18259.46,500,6100,12067,NA,1500,8719.65,129493.8,2836.25,600,6387.9
BERKELEY,45015,225,NA,NA,NA,NA,NA,283.38,NA,NA,NA,NA,NA,1100,10217.05,NA,NA,NA
BERKELEY,54003,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,272,6394.93,NA,NA,NA
BERKS,42011,600,625,NA,NA,NA,NA,275,NA,NA,NA,NA,500,1157.47,21236.61,400,NA,1
BERKSHIRE,25003,412.18,1250,NA,NA,NA,NA,275,NA,NA,1205,NA,2315,6086.18,2205.95,13934.05,NA,6
BERNALILLO,35001,NA,1275,NA,2700,509.94,550,1585.83,NA,250,300,NA,4632.6,6836.25,88708.45,2757.38,1355,589.43
BERRIEN,13019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,512,NA,NA,NA
BERRIEN,26021,250,5905,NA,NA,NA,500,NA,NA,NA,NA,NA,NA,101,9618.02,300,675,5
BERTIE,37015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA
BETHEL,02050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,264.51,NA,NA
BEXAR,48029,2830,2625,201092.49,NA,6160,358.95,4649.15,500,NA,350,NA,80256.8,6449.8,449661.45999999996,3752.99,NA,3084
BIBB,01007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290.25,NA,NA,NA
BIBB,13021,NA,NA,NA,NA,NA,207.76,NA,NA,NA,NA,NA,NA,1019.73,25203.34,NA,NA,427.95
BIENVILLE,22013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,971.25,NA,NA,NA
BIG HORN,30003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,622.3,250,NA,NA
BIG HORN,56003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,770.5,NA,NA,NA
BIG STONE,27011,NA,125,NA,NA,NA,NA,NA,NA,NA,215,NA,NA,NA,35,NA,NA,NA
BINGHAM,16011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1962.25,NA,NA,NA
